employee_id,role,manual_admin_share_before_pct,manual_admin_share_after_pct,patient_support_share_before_pct,patient_support_share_after_pct,exception_management_share_after_pct
EMP0001,Billing Officer,72,24,23,28,25
EMP0002,Front Desk Officer,52,20,20,43,16
EMP0003,Operations Executive,61,19,21,27,35
EMP0004,Front Desk Officer,68,21,16,33,30
EMP0005,Operations Executive,70,23,16,29,25
EMP0006,Billing Officer,74,21,21,36,17
EMP0007,Billing Officer,69,13,12,26,28
EMP0008,Front Desk Officer,50,15,11,34,24
EMP0009,Lab Coordinator,50,21,13,32,29
EMP0010,Operations Executive,58,13,17,34,33
EMP0011,Front Desk Officer,55,8,13,29,24
EMP0012,Patient Navigator,61,13,12,32,18
EMP0013,Lab Coordinator,69,20,21,31,32
EMP0014,Lab Coordinator,60,22,23,36,26
EMP0015,Patient Navigator,68,16,10,27,16
EMP0016,Front Desk Officer,73,8,17,45,19
EMP0017,Front Desk Officer,58,21,13,33,18
EMP0018,Billing Officer,50,24,25,40,16
EMP0019,Billing Officer,74,15,13,43,27
EMP0020,Operations Executive,47,21,13,38,22
EMP0021,Front Desk Officer,52,18,11,26,18
EMP0022,Operations Executive,50,22,16,33,17
EMP0023,Operations Executive,59,24,24,34,17
EMP0024,Lab Coordinator,47,17,24,44,21
EMP0025,Operations Executive,69,11,13,35,24
EMP0026,Operations Executive,74,17,13,43,20
EMP0027,Lab Coordinator,48,11,21,37,28
EMP0028,Operations Executive,73,13,24,29,30
EMP0029,Front Desk Officer,73,8,16,34,17
EMP0030,Front Desk Officer,73,23,19,26,21
EMP0031,Operations Executive,64,14,23,45,23
EMP0032,Patient Navigator,54,16,13,25,15
EMP0033,Operations Executive,69,9,24,34,21
EMP0034,Operations Executive,58,19,22,44,18
EMP0035,Patient Navigator,69,24,11,36,19
EMP0036,Lab Coordinator,69,23,17,41,31
EMP0037,Lab Coordinator,62,9,14,26,16
EMP0038,Operations Executive,72,25,14,35,25
EMP0039,Lab Coordinator,61,22,23,31,35
EMP0040,Billing Officer,62,19,10,26,26
EMP0041,Patient Navigator,67,24,17,43,18
EMP0042,Front Desk Officer,67,15,14,43,26
EMP0043,Billing Officer,73,8,12,38,27
EMP0044,Front Desk Officer,48,24,15,33,17
EMP0045,Operations Executive,57,19,20,33,35
EMP0046,Operations Executive,62,20,14,44,23
EMP0047,Patient Navigator,66,24,18,40,24
EMP0048,Front Desk Officer,58,24,23,37,35
EMP0049,Patient Navigator,48,13,14,29,16
EMP0050,Operations Executive,58,13,18,40,19
EMP0051,Front Desk Officer,68,18,16,29,15
EMP0052,Operations Executive,65,19,22,35,31
EMP0053,Front Desk Officer,73,24,12,45,22
EMP0054,Billing Officer,46,17,24,44,31
EMP0055,Lab Coordinator,63,16,17,29,16
EMP0056,Billing Officer,75,16,19,39,23
EMP0057,Lab Coordinator,52,21,25,28,20
EMP0058,Lab Coordinator,67,23,23,28,15
EMP0059,Operations Executive,57,17,20,36,35
EMP0060,Lab Coordinator,75,21,13,26,35
