date,location,shift,scheduled_staff,active_staff,patient_demand,patients_per_active_staff,overtime_hours,absence_flag
2026-07-01,Reception,Morning,3,2,112,56.0,3.56,True
2026-07-01,Reception,Evening,6,6,172,28.67,1.56,False
2026-07-01,Central Billing,Morning,3,3,138,46.0,3.67,False
2026-07-01,Central Billing,Evening,4,4,91,22.75,0,False
2026-07-01,Lab A,Morning,4,4,169,42.25,4.06,False
2026-07-01,Lab A,Evening,4,4,147,36.75,2.83,False
2026-07-01,Lab B,Morning,3,3,113,37.67,2.28,False
2026-07-01,Lab B,Evening,7,6,119,19.83,0,True
2026-07-01,Radiology A,Morning,6,6,44,7.33,0,False
2026-07-01,Radiology A,Evening,6,6,45,7.5,0,False
2026-07-01,Radiology B,Morning,3,2,50,25.0,0.11,True
2026-07-01,Radiology B,Evening,7,7,115,16.43,0,False
2026-07-01,ECG,Morning,4,4,77,19.25,0,False
2026-07-01,ECG,Evening,3,3,50,16.67,0,False
2026-07-01,Ultrasound,Morning,3,3,113,37.67,2.28,False
2026-07-01,Ultrasound,Evening,5,5,82,16.4,0,False
2026-07-01,Report Hub,Morning,6,6,101,16.83,0,False
2026-07-01,Report Hub,Evening,5,4,108,27.0,0.67,True
2026-07-02,Reception,Morning,4,4,79,19.75,0,False
2026-07-02,Reception,Evening,5,5,90,18.0,0,False
2026-07-02,Central Billing,Morning,6,5,152,30.4,1.78,True
2026-07-02,Central Billing,Evening,5,4,151,37.75,3.06,True
2026-07-02,Lab A,Morning,2,1,72,72.0,2.67,True
2026-07-02,Lab A,Evening,2,2,139,69.5,5.06,False
2026-07-02,Lab B,Morning,3,3,43,14.33,0,False
2026-07-02,Lab B,Evening,5,5,156,31.2,2.0,False
2026-07-02,Radiology A,Morning,4,4,168,42.0,4.0,False
2026-07-02,Radiology A,Evening,3,3,122,40.67,2.78,False
2026-07-02,Radiology B,Morning,5,5,162,32.4,2.33,False
2026-07-02,Radiology B,Evening,7,7,65,9.29,0,False
2026-07-02,ECG,Morning,5,5,91,18.2,0,False
2026-07-02,ECG,Evening,5,5,129,25.8,0.5,False
2026-07-02,Ultrasound,Morning,4,4,122,30.5,1.44,False
2026-07-02,Ultrasound,Evening,2,2,98,49.0,2.78,False
2026-07-02,Report Hub,Morning,7,7,173,24.71,0.28,False
2026-07-02,Report Hub,Evening,4,4,78,19.5,0,False
2026-07-03,Reception,Morning,6,6,78,13.0,0,False
2026-07-03,Reception,Evening,7,6,127,21.17,0,True
2026-07-03,Central Billing,Morning,2,2,167,83.5,6.61,False
2026-07-03,Central Billing,Evening,6,6,148,24.67,0.22,False
2026-07-03,Lab A,Morning,3,3,111,37.0,2.17,False
2026-07-03,Lab A,Evening,7,7,152,21.71,0,False
2026-07-03,Lab B,Morning,5,5,168,33.6,2.67,False
2026-07-03,Lab B,Evening,4,3,86,28.67,0.78,True
2026-07-03,Radiology A,Morning,5,5,128,25.6,0.44,False
2026-07-03,Radiology A,Evening,4,4,62,15.5,0,False
2026-07-03,Radiology B,Morning,7,7,118,16.86,0,False
2026-07-03,Radiology B,Evening,6,5,148,29.6,1.56,True
2026-07-03,ECG,Morning,2,2,73,36.5,1.39,False
2026-07-03,ECG,Evening,6,6,161,26.83,0.94,False
2026-07-03,Ultrasound,Morning,6,5,170,34.0,2.78,True
2026-07-03,Ultrasound,Evening,4,4,86,21.5,0,False
2026-07-03,Report Hub,Morning,2,1,127,127.0,5.72,True
2026-07-03,Report Hub,Evening,7,7,60,8.57,0,False
2026-07-04,Reception,Morning,2,2,55,27.5,0.39,False
2026-07-04,Reception,Evening,5,5,124,24.8,0.22,False
2026-07-04,Central Billing,Morning,5,5,155,31.0,1.94,False
2026-07-04,Central Billing,Evening,3,3,45,15.0,0,False
2026-07-04,Lab A,Morning,3,3,123,41.0,2.83,False
2026-07-04,Lab A,Evening,2,2,79,39.5,1.72,False
2026-07-04,Lab B,Morning,3,2,100,50.0,2.89,True
2026-07-04,Lab B,Evening,7,7,84,12.0,0,False
2026-07-04,Radiology A,Morning,2,2,122,61.0,4.11,False
2026-07-04,Radiology A,Evening,3,3,86,28.67,0.78,False
2026-07-04,Radiology B,Morning,4,4,131,32.75,1.94,False
2026-07-04,Radiology B,Evening,7,7,167,23.86,0,False
2026-07-04,ECG,Morning,7,6,158,26.33,0.78,True
2026-07-04,ECG,Evening,2,2,177,88.5,7.17,False
2026-07-04,Ultrasound,Morning,2,1,84,84.0,3.33,True
2026-07-04,Ultrasound,Evening,3,3,112,37.33,2.22,False
2026-07-04,Report Hub,Morning,4,4,145,36.25,2.72,False
2026-07-04,Report Hub,Evening,5,5,77,15.4,0,False
2026-07-05,Reception,Morning,7,7,74,10.57,0,False
2026-07-05,Reception,Evening,4,4,75,18.75,0,False
2026-07-05,Central Billing,Morning,4,4,131,32.75,1.94,False
2026-07-05,Central Billing,Evening,7,7,158,22.57,0,False
2026-07-05,Lab A,Morning,7,7,106,15.14,0,False
2026-07-05,Lab A,Evening,7,6,78,13.0,0,True
2026-07-05,Lab B,Morning,3,3,52,17.33,0,False
