employee_id,role,digital_training_hours,assessment_score,adoption_status
EMP0001,Billing Officer,12,86,Not Yet Adopted
EMP0002,Front Desk Officer,12,91,Adopted
EMP0003,Operations Executive,8,72,Adopted
EMP0004,Front Desk Officer,8,88,Adopted
EMP0005,Operations Executive,4,72,Adopted
EMP0006,Billing Officer,12,85,Needs Coaching
EMP0007,Billing Officer,4,68,Adopted
EMP0008,Front Desk Officer,12,68,Adopted
EMP0009,Lab Coordinator,8,76,Adopted
EMP0010,Operations Executive,4,96,Adopted
EMP0011,Front Desk Officer,12,69,Not Yet Adopted
EMP0012,Patient Navigator,12,98,Adopted
EMP0013,Lab Coordinator,12,95,Adopted
EMP0014,Lab Coordinator,12,94,Adopted
EMP0015,Patient Navigator,8,65,Adopted
EMP0016,Front Desk Officer,12,98,Adopted
EMP0017,Front Desk Officer,4,74,Adopted
EMP0018,Billing Officer,12,83,Adopted
EMP0019,Billing Officer,6,80,Adopted
EMP0020,Operations Executive,8,90,Adopted
EMP0021,Front Desk Officer,8,94,Needs Coaching
EMP0022,Operations Executive,4,93,Adopted
EMP0023,Operations Executive,4,65,Needs Coaching
EMP0024,Lab Coordinator,8,71,Adopted
EMP0025,Operations Executive,12,93,Adopted
EMP0026,Operations Executive,4,70,Adopted
EMP0027,Lab Coordinator,12,76,Adopted
EMP0028,Operations Executive,12,95,Adopted
EMP0029,Front Desk Officer,8,67,Adopted
EMP0030,Front Desk Officer,12,80,Adopted
EMP0031,Operations Executive,4,94,Adopted
EMP0032,Patient Navigator,8,82,Not Yet Adopted
EMP0033,Operations Executive,12,83,Adopted
EMP0034,Operations Executive,6,78,Adopted
EMP0035,Patient Navigator,12,89,Adopted
EMP0036,Lab Coordinator,4,76,Needs Coaching
EMP0037,Lab Coordinator,6,98,Adopted
EMP0038,Operations Executive,12,97,Not Yet Adopted
EMP0039,Lab Coordinator,4,67,Adopted
EMP0040,Billing Officer,12,68,Adopted
EMP0041,Patient Navigator,12,83,Adopted
EMP0042,Front Desk Officer,4,80,Needs Coaching
EMP0043,Billing Officer,8,75,Adopted
EMP0044,Front Desk Officer,8,66,Adopted
EMP0045,Operations Executive,12,95,Adopted
EMP0046,Operations Executive,4,75,Adopted
EMP0047,Patient Navigator,6,65,Adopted
EMP0048,Front Desk Officer,6,80,Adopted
EMP0049,Patient Navigator,4,76,Adopted
EMP0050,Operations Executive,8,97,Adopted
EMP0051,Front Desk Officer,12,81,Adopted
EMP0052,Operations Executive,6,77,Adopted
EMP0053,Front Desk Officer,12,95,Adopted
EMP0054,Billing Officer,8,70,Adopted
EMP0055,Lab Coordinator,12,69,Adopted
EMP0056,Billing Officer,12,96,Needs Coaching
EMP0057,Lab Coordinator,12,84,Adopted
EMP0058,Lab Coordinator,8,67,Adopted
EMP0059,Operations Executive,12,78,Adopted
EMP0060,Lab Coordinator,4,73,Needs Coaching
EMP0061,Operations Executive,8,65,Adopted
EMP0062,Patient Navigator,4,89,Adopted
EMP0063,Billing Officer,12,69,Adopted
EMP0064,Operations Executive,6,89,Adopted
EMP0065,Patient Navigator,12,66,Adopted
EMP0066,Operations Executive,8,84,Adopted
EMP0067,Front Desk Officer,8,88,Needs Coaching
EMP0068,Billing Officer,4,93,Adopted
EMP0069,Front Desk Officer,12,98,Adopted
EMP0070,Lab Coordinator,12,83,Adopted
EMP0071,Lab Coordinator,6,82,Adopted
EMP0072,Operations Executive,4,95,Adopted
EMP0073,Lab Coordinator,6,96,Adopted
EMP0074,Operations Executive,6,76,Adopted
EMP0075,Front Desk Officer,12,73,Adopted
EMP0076,Billing Officer,6,97,Adopted
EMP0077,Billing Officer,8,91,Adopted
EMP0078,Patient Navigator,6,91,Adopted
EMP0079,Operations Executive,6,78,Adopted
EMP0080,Billing Officer,4,94,Adopted
EMP0081,Patient Navigator,8,71,Not Yet Adopted
EMP0082,Billing Officer,4,82,Adopted
EMP0083,Front Desk Officer,4,93,Adopted
