edge_id,from_node,to_node,distance_m,expected_walk_min,bidirectional
E001,N01,N02,180,2.4,True
E002,N01,N03,220,2.93,True
E003,N02,N04,220,2.93,True
E004,N02,N05,310,4.13,True
E005,N02,N06,260,3.47,True
E006,N02,N08,180,2.4,True
E007,N02,N09,420,5.6,True
E008,N03,N04,260,3.47,True
E009,N03,N05,210,2.8,True
E010,N03,N06,240,3.2,True
E011,N03,N08,80,1.07,True
E012,N03,N09,330,4.4,True
E013,N04,N06,120,1.6,True
E014,N04,N08,210,2.8,True
E015,N04,N09,280,3.73,True
E016,N05,N07,110,1.47,True
E017,N05,N08,130,1.73,True
E018,N05,N09,180,2.4,True
E019,N06,N08,150,2.0,True
E020,N07,N09,90,1.2,True
E021,N08,N09,170,2.27,True
E022,N04,N10,260,3.47,True
E023,N05,N10,330,4.4,True
E024,N06,N10,280,3.73,True
E025,N07,N10,390,5.2,True
E026,N08,N10,210,2.8,True
E027,N09,N10,420,5.6,True
E028,N10,N11,60,0.8,True
E029,N11,N12,40,0.53,True
