table,field,data_type,description,synthetic_data,privacy_note
data/08_predictive_operations/predictive_queue_features.csv,record_id,text,Record Id,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,location,text,Location,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,hour,number,Hour,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,day_of_week,number,Day Of Week,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,active_staff,number,Active Staff,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,arrivals_last_30m,number,Arrivals Last 30M,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,recent_avg_wait_min,number,Recent Avg Wait Min,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,predicted_wait_min,number,Predicted Wait Min,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,predicted_sla_breach,text,Predicted Sla Breach,Yes,No real patient/employee identity in public dataset
data/08_predictive_operations/predictive_queue_features.csv,actual_wait_min,number,Actual Wait Min,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/job_redesign.csv,employee_id,text,Employee Id,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/job_redesign.csv,role,text,Role,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/job_redesign.csv,manual_admin_share_before_pct,number,Manual Admin Share Before Pct,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/job_redesign.csv,manual_admin_share_after_pct,number,Manual Admin Share After Pct,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/job_redesign.csv,patient_support_share_before_pct,number,Patient Support Share Before Pct,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/job_redesign.csv,patient_support_share_after_pct,number,Patient Support Share After Pct,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/job_redesign.csv,exception_management_share_after_pct,number,Exception Management Share After Pct,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,date,text,Date,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,location,text,Location,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,shift,text,Shift,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,scheduled_staff,number,Scheduled Staff,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,active_staff,number,Active Staff,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,patient_demand,number,Patient Demand,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,patients_per_active_staff,number,Patients Per Active Staff,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,overtime_hours,number,Overtime Hours,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/staff_shifts.csv,absence_flag,text,Absence Flag,Yes,No real patient/employee identity in public dataset
data/06_hr_operations/training_adoption.csv,employee_id,text,Employee Id,Yes,No real patient/employee identity in public dataset
